1;1;0;ENTROU
1;1;1;ENTROU
2;2;2;ENTROU
2;2;3;ENTROU
2;3;4;ENTROU
2;3;5;ENTROU
4;2;2;SAIU
4;2;3;SAIU
4;4;2;ENTROU
4;4;3;ENTROU
4;4;2;SAIU
4;4;3;SAIU
5;3;4;SAIU
5;3;5;SAIU
5;5;2;ENTROU
5;5;3;ENTROU
6;5;2;SAIU
6;5;3;SAIU
6;6;2;ENTROU
6;6;3;ENTROU
7;7;4;ENTROU
7;7;5;ENTROU
7;7;6;ENTROU
7;7;7;ENTROU
10;1;0;SAIU
10;1;1;SAIU
10;6;2;SAIU
10;6;3;SAIU
10;8;0;ENTROU
10;8;1;ENTROU
10;8;2;ENTROU
10;8;3;ENTROU
11;8;0;SAIU
11;8;1;SAIU
11;8;2;SAIU
11;8;3;SAIU
11;9;0;ENTROU
11;9;1;ENTROU
11;9;2;ENTROU
11;9;3;ENTROU
13;9;0;SAIU
13;9;1;SAIU
13;9;2;SAIU
13;9;3;SAIU
13;10;0;ENTROU
13;10;1;ENTROU
13;10;2;ENTROU
13;10;3;ENTROU
20;10;0;SAIU
20;10;1;SAIU
20;10;2;SAIU
20;10;3;SAIU
20;11;0;ENTROU
20;12;1;ENTROU
20;12;2;ENTROU
20;13;3;ENTROU
25;12;1;SAIU
25;12;2;SAIU
25;13;3;SAIU
25;14;1;ENTROU
25;15;2;ENTROU
26;11;0;SAIU
26;16;0;ENTROU
26;16;3;ENTROU
29;14;1;SAIU
29;15;2;SAIU
29;17;1;ENTROU
29;17;2;ENTROU
30;16;0;SAIU
30;16;3;SAIU
34;17;1;SAIU
34;17;2;SAIU
60;7;4;SAIU
60;7;5;SAIU
60;7;6;SAIU
60;7;7;SAIU
60;18;0;ENTROU
60;18;1;ENTROU
60;18;2;ENTROU
60;18;3;ENTROU
60;18;4;ENTROU
60;19;5;ENTROU
60;19;6;ENTROU
60;19;7;ENTROU
66;18;0;SAIU
66;18;1;SAIU
66;18;2;SAIU
66;18;3;SAIU
66;18;4;SAIU
66;19;5;SAIU
66;19;6;SAIU
66;19;7;SAIU
66;20;0;ENTROU
66;20;1;ENTROU
66;20;2;ENTROU
66;21;3;ENTROU
66;21;4;ENTROU
66;21;5;ENTROU
66;21;6;ENTROU
71;21;3;SAIU
71;21;4;SAIU
71;21;5;SAIU
71;21;6;SAIU
71;22;3;ENTROU
71;22;4;ENTROU
71;23;5;ENTROU
71;23;6;ENTROU
72;20;0;SAIU
72;20;1;SAIU
72;20;2;SAIU
72;24;0;ENTROU
72;24;1;ENTROU
72;25;2;ENTROU
73;24;0;SAIU
73;24;1;SAIU
73;25;2;SAIU
73;26;0;ENTROU
73;26;1;ENTROU
73;27;2;ENTROU
73;27;7;ENTROU
74;26;0;SAIU
74;26;1;SAIU
74;27;2;SAIU
74;27;7;SAIU
74;28;0;ENTROU
74;28;1;ENTROU
74;28;2;ENTROU
74;28;7;ENTROU
76;28;0;SAIU
76;28;1;SAIU
76;28;2;SAIU
76;28;7;SAIU
76;29;0;ENTROU
76;29;1;ENTROU
76;29;2;ENTROU
77;22;3;SAIU
77;22;4;SAIU
77;30;3;ENTROU
77;30;4;ENTROU
77;30;7;ENTROU
79;29;0;SAIU
79;29;1;SAIU
79;29;2;SAIU
79;31;0;ENTROU
79;32;1;ENTROU
81;23;5;SAIU
81;23;6;SAIU
81;30;3;SAIU
81;30;4;SAIU
81;30;7;SAIU
81;33;2;ENTROU
81;33;3;ENTROU
81;34;4;ENTROU
81;34;5;ENTROU
81;34;6;ENTROU
81;34;7;ENTROU
84;31;0;SAIU
85;32;1;SAIU
85;35;0;ENTROU
85;35;1;ENTROU
87;33;2;SAIU
87;33;3;SAIU
87;34;4;SAIU
87;34;5;SAIU
87;34;6;SAIU
87;34;7;SAIU
87;36;2;ENTROU
87;36;3;ENTROU
87;36;4;ENTROU
87;36;5;ENTROU
91;35;0;SAIU
91;35;1;SAIU
91;37;0;ENTROU
91;37;1;ENTROU
91;37;6;ENTROU
93;36;2;SAIU
93;36;3;SAIU
93;36;4;SAIU
93;36;5;SAIU
93;38;2;ENTROU
93;38;3;ENTROU
93;38;4;ENTROU
93;38;5;ENTROU
93;38;7;ENTROU
97;37;0;SAIU
97;37;1;SAIU
97;37;6;SAIU
97;39;0;ENTROU
97;39;1;ENTROU
102;38;2;SAIU
102;38;3;SAIU
102;38;4;SAIU
102;38;5;SAIU
102;38;7;SAIU
102;40;2;ENTROU
102;40;3;ENTROU
105;39;0;SAIU
105;39;1;SAIU
105;41;0;ENTROU
105;41;1;ENTROU
105;41;4;ENTROU
105;41;5;ENTROU
105;41;6;ENTROU
110;40;2;SAIU
110;40;3;SAIU
112;41;0;SAIU
112;41;1;SAIU
112;41;4;SAIU
112;41;5;SAIU
112;41;6;SAIU
112;42;0;ENTROU
112;42;1;ENTROU
112;42;2;ENTROU
112;42;3;ENTROU
112;43;4;ENTROU
112;43;5;ENTROU
112;43;4;SAIU
112;43;5;SAIU
113;44;4;ENTROU
113;44;5;ENTROU
113;44;6;ENTROU
113;44;7;ENTROU
118;42;0;SAIU
118;42;1;SAIU
118;42;2;SAIU
118;42;3;SAIU
118;45;0;ENTROU
118;46;1;ENTROU
118;47;2;ENTROU
118;48;3;ENTROU
138;44;4;SAIU
138;44;5;SAIU
138;44;6;SAIU
138;44;7;SAIU
138;49;4;ENTROU
138;50;5;ENTROU
138;50;6;ENTROU
144;45;0;SAIU
145;46;1;SAIU
147;47;2;SAIU
150;50;5;SAIU
150;50;6;SAIU
153;48;3;SAIU
172;49;4;SAIU
